id,categoryid,name
1,1,Antigüedades
2,1,Arquitectónico y jardín
3,2,Directo del artista
4,2,Lotes al por mayor
5,3,Asientos de seguridad para autos
6,3,Artículos para bebé
7,4,"Libros de textos, educación"
8,4,Ficción y literatura
9,5,Construcción
10,5,Agricultura y silvicultura
11,6,Drones con cámaras
12,6,Binoculares y telescopios
13,7,Relojes inteligentes
14,7,Celulares y smartphones
15,8,Ropa para hombre
16,8,Ropa para mujer
17,9,En lingotes
18,9,Monedas: EE. UU.
19,10,Cómics
20,10,Relojes
21,11,Laptops y netbooks
22,11,"iPads, tablets y lectores electrónicos"
23,12,Audio portátil y audífonos
24,12,"Televisor, video y audio para el hogar"
25,13,Materiales para arte
26,13,Artes y artesanías para el hogar
27,14,Muñecas
28,14,Osos
29,15,Cintas VHS
30,15,DVD y Blu-ray
31,16,Motocicletas
32,16,Vehículos y camionetas
33,17,Memorabilia de películas
34,17,Autógrafos-original
35,18,Tarjetas de regalo de eBay
36,18,Tarjetas de regalo
37,19,"Suplementos alimenticios, nutrición"
38,19,Cuerpo y baño
39,20,Ropa de cama
40,20,Baño
41,21,Diamantes y gemas sueltos
42,21,Joyas de moda
43,22,CD
44,22,Casetes
45,23,Equipo
46,23,Guitarra
47,24,Gatos
48,24,Aves
49,25,Cerámica y porcelana
50,25,Vidrio
51,26,Terreno
52,26,Comerciales
53,27,Servicios de subastas de eBay
54,27,Servicios artísticos
55,28,Pesca
56,28,Ciclismo
57,29,Tarjetas
58,29,Autógrafos (original)
59,30,Canadá
60,30,Estados Unidos
61,31,Boletos para conciertos
62,31,Boletos para deportes
63,32,Juguetes clásicos
64,32,Figuras de acción
65,33,Alquiler de automóviles
66,33,Línea aérea
67,34,Consolas de videojuego
68,34,Videojuegos
69,35,Otros
70,35,Solo para adultos
71,1,Antigüedades de Asia
72,1,Libros y manuscritos
73,1,Artes decorativas
74,1,Etnográfico
75,1,Muebles
76,1,Hogar y chimeneas
77,1,Linos y textiles (antes de 1930)
78,1,"Mapas, atlas y globos terráqueos"
79,1,Marítimo
80,1,"Mercantil, comercio y fábricas"
81,1,Instrumentos musicales (antes de 1930)
82,1,Épocas y estilos
83,1,Primitivos
84,1,Restauración y cuidado
85,1,Alfombras y tapetes
86,1,Ciencia y medicina (antes de 1930)
87,1,Costura (antes de 1930)
88,1,Plateado
89,1,Réplicas de antigüedades
90,1,Otros
91,2,Arte de anticuarios y revendedores
92,3,Seguridad y salud del bebé
93,3,Baño y aseo
94,3,Pañales
95,3,Alimentación
96,3,Recuerdos y anuncios de nacimiento
97,3,Ropa de cama para niños
98,3,Decoración de habitaciones de bebé
99,3,Muebles para bebés
100,3,Dejar los pañales
101,3,Coches para bebés
102,3,Accesorios para coches
103,3,Juguetes para bebés
104,3,Otros
105,4,Accesorios
106,4,Antigüedades y piezas de colección
107,4,Libro en audio
108,4,Catálogos
109,4,Niños y adultos jóvenes
110,4,Libros de cocina
111,4,Publicaciones anteriores de revistas
112,4,No ficción
113,4,Otros
114,5,Equipo eléctrico y de prueba
115,5,Combustible y energía
116,5,Cuidado de salud y laboratorio
117,5,Equipo pesado
118,5,Accesorios de equipo pesado
119,5,Piezas y accesorios de equipo pesado
120,5,Equipo ligero y herramientas
121,5,Manufactura y metalurgia
122,5,Suministro industrial y MRO
123,5,Oficina
124,5,Empaque y envío
125,5,Artes gráficas y de impresión
126,5,Restaurante y catering
127,5,Sitios en internet y negocios en venta
128,5,Otros
129,6,Cámara de video
130,6,Cámaras digitales
131,6,Accesorios de cámaras y fotografía
132,6,Marcos de fotos digitales
133,6,Fotografía de película
134,6,Flashes y accesorios
135,6,Lentes y filtros
136,6,Iluminación y estudio
137,6,Manuales y guías
138,6,Piezas y herramientas de repuesto
139,6,Trípodes y soportes
140,6,Edición y producción de video
141,6,Fotografías y películas vintage
142,6,Lotes al por mayor
143,6,Otros
144,7,Accesorios para teléfonos celulares
145,7,Teléfonos con display
146,7,Tarjetas SIM y tarjetas telefónicas
147,7,Piezas y herramientas de repuesto
148,7,Otros
149,8,Ropa de infantes y bebés
150,8,"Vestuario, zapatos y accesorios de niños"
151,8,"Disfraces, representación, teatro"
152,8,Ropa étnica y cultural
153,8,Trajes de baile
154,8,Accesorios para hombre
155,8,Zapatos para hombres
156,8,Uniformes y ropa de trabajo
157,8,"Vestuario, zapatos y accesorios unisex"
158,8,Boda y ocasión formal
159,8,Accesorios para mujer
160,8,Carteras y bolsos de mujer
161,8,Calzado de mujer
162,8,Vintage
163,8,Lotes grandes y pequeños al por mayor
164,9,Monedas: Canadá
165,9,Monedas: antiguas
166,9,Monedas: Edad Media
167,9,Monedas: del mundo
168,9,Objetos numismáticos
169,9,Billetes: EE. UU.
170,9,Billetes del mundo
171,9,Publicaciones y suministros
172,9,"Acciones y bonos, escripofilia"
173,9,Divisa virtual
174,9,Otros
175,10,Publicidad
176,10,Animales
177,10,Dibujos animados y personajes
178,10,"Salas de juegos, rocolas y pinball"
179,10,Autógrafos
180,10,"Bancos, registros y ventas"
181,10,Cuentas
182,10,Botellas y aisladores
183,10,"Breweriana, cerveza"
184,10,Casino
185,10,Culturas y etnias
186,10,Adornos de colección
187,10,Disneyana
188,10,"Fantasía, míticos y magia"
189,10,Memorabilia histórica
190,10,Festivo y de temporada
191,10,Cocina y hogar
192,10,"Cuchillos, espadas y cuchillas"
193,10,"Lámparas, luces"
194,10,Ropa blanca y telas (1930 - presente)
195,10,Objetos de metal
196,10,Militaria
197,10,Papel
198,10,Bolígrafos e instrumentos para escribir
199,10,"Pez, llaveros, vasos promocionales"
200,10,Imágenes fotográficas
201,10,"Prendedores, cabezones, loncheras"
202,10,Postales
203,10,"Radio, fonógrafo, televisión, teléfono"
204,10,Religión y espiritualidad
205,10,"Rocas, fósiles y minerales"
206,10,Ciencia ficción y horror
207,10,Ciencia y medicina (1930 - presente)
208,10,Costura (1930 - presente)
209,10,Recuerdos y memorabilia de viajes
210,10,Productos relacionados con el tabaco
211,10,Herramientas y cerraduras
212,10,Tarjetas de colección
213,10,Transporte
214,10,"Tocador, perfume y productos de afeitar"
215,10,"Vintage, retro, de mediados de siglo"
216,11,Accesorios para iPad/Tableta/eBook
217,11,Tablet & eBook Reader Parts
218,11,Computadoras y todo en uno
219,11,Accs. para laptops y comp. de escritorio
220,11,Cables y conectores
221,11,Partes y componentes de computadora
222,11,"Unidades de disco, almacenamiento y discos en blanco"
223,11,Redes y servidores empresariales
224,11,Red y conectividad doméstica
225,11,"Teclados, mouses y punteros"
226,11,"Monitores, proyectores y accesorios"
227,11,"Protección, distribución de alimentación"
228,11,"Impresoras, escáneres y suministros"
229,11,Software
230,11,Manuales y recursos
231,11,Informática vintage
232,11,Otros
233,12,Sistemas electrónicos del vehículo y GPS
234,12,Sistemas de automatización (domótica)
235,12,Vigilancia residencial
236,12,Teléfonos para el hogar
237,12,Baterías y energías multiusos
238,12,Comunicación por radio
239,12,Artefactos y otros sistemas electrónicos
240,12,Sistemas electrónicos vintage
241,13,Cuentas y fabricación de joyas
242,13,Vidrio y mosaicos
243,13,Piezas de artesanía y acabadas
244,13,Artesanías infantiles
245,13,Materiales multiusos para artesanía
246,13,Artesanías con agujas e hilos
247,13,Colec. de recortes y artesanías de papel
248,13,Costura y tela
249,13,Timbres y gofrados
250,13,Otras artesanías
251,14,Materiales para hacer osos
252,14,Miniaturas para casas de muñeca
253,14,Muñecas de papel
254,15,Película fotográfica
255,15,Discos láser
256,15,UMD
257,15,Otros formatos
258,15,Almacenamiento y accesorios para videos
259,16,Otros vehículos y remolques
260,16,Botes
261,16,"Vehículos de aventura, recreativos"
262,16,Partes y accesorios
263,17,Autógrafos-reimpresos
264,17,Memorabilia de música
265,17,Memorabilia de televisión
266,17,Memorabilia de teatro
267,17,Memorabilia de juegos de video
268,17,Otros
269,18,Certificados de regalo
270,18,Cupones
271,18,Productos digitales
272,19,Fragancias
273,19,Cuidado del cabello y peinado
274,19,Cuidado de la salud
275,19,Maquillaje
276,19,Masaje
277,19,"Medicina, movilidad y discapacidad"
278,19,"Cuidado de las uñas, manicure y pedicure"
279,19,Remedios naturales y homeopáticos
280,19,Higiene bucal
281,19,Medicamentos de venta libre
282,19,Equipo de spa y salón
283,19,Afeitado y depilación
284,19,Cuidado de la piel
285,19,Protección solar y bronceador
286,19,Tatuajes y arte corporal
287,19,Cuidado de la vista
288,19,Control de peso
289,19,Lotes al por mayor
290,19,Otros
291,20,Comida y bebidas
292,20,Flores naturales y suministros
293,20,Muebles
294,20,Tarjetas y suministros para fiestas
295,20,Decoración festiva y de temporada
296,20,Decoración para el hogar
297,20,Artículos para mejoras del hogar
298,20,Materiales de limpieza para el hogar
299,20,Niños y adolescentes
300,20,"Cocina, comedor y bar"
301,20,"Lámparas, luces y ventiladores de techo"
302,20,Electrodomésticos grandes
303,20,Alfombras y tapetes
304,20,Herramientas
305,20,Suministros para soldadura
306,20,Decoración y herrajes para ventanas
307,20,"Patio, jardín y espacios abiertos"
308,20,Lotes al por mayor
309,20,Otros
310,21,Joyas infantiles
311,21,Compromiso y boda
312,21,"Étnicos, regionales y tribales"
313,21,Joyería fina
314,21,"Joyas artesanales, hechas a mano"
315,21,Joyeros y organizadores de joyas
316,21,Diseño y reparación de joyas
317,21,Cuentas sueltas
318,21,Joyas para hombres
319,21,Joyas vintage y antiguas
320,21,Relojes
321,21,Otros
322,22,Discos
323,22,Otros formatos
324,22,Almacenamiento y accesorios para videos
325,22,Lotes al por mayor
326,23,Acordeones y concertinas
327,23,Latón
328,23,Armónica
329,23,"Libros, CD y videos de instrucciones"
330,23,Karaoke
331,23,Percusión
332,23,"Pianos, órganos y teclados"
333,23,Equipo de audio profesional
334,23,Partituras y cancioneros
335,23,Iluminación y efectos de escenario
336,23,Cuerdas
337,23,Instrumentos de viento-madera
338,23,Lotes al por mayor
339,23,Otros
340,24,Aves de corral
341,24,Perros
342,24,Peces y acuarios
343,24,Caballos
344,24,Reptiles
345,24,Animales pequeños
346,24,Lápidas y urnas
347,24,Otros
348,26,Casas prefabricadas
349,26,Residenciales
350,26,Tiempos compartidos a la venta
351,26,Otros bienes raíces
352,27,Ropa y joyería a la medida
353,27,Diseño gráfico y de logotipos
354,27,Servicios para mejoras del hogar
355,27,Servicios basados en artículos
356,27,Edición y duplicado de medios
357,27,Impresión y personalización
358,27,Restauración y reparación
359,27,Servicios Web e informáticos
360,27,Otros servicios
361,28,"Boxeo, artes marciales y artes marciales mixtas (MMA)"
362,28,"Fitness, running y yoga"
363,28,Golf
364,28,Cacería
365,28,Juegos en interiores
366,28,Deportes al aire libre
367,28,Deportes de equipo
368,28,Tenis y deportes con raqueta
369,28,Deportes acuáticos
370,28,Deportes de invierno
371,28,Otros
372,28,Lotes al por mayor
373,29,Autógrafos (reimpresos)
374,29,Ropa para aficionados y recuerdos
375,29,Memorabilia de juegos usada
376,29,Autenticada por el fabricante
377,29,Memorabilia de deportes antigua
378,29,Lotes al por mayor
379,30,Gran Bretaña
380,30,África
381,30,Asia
382,30,Australia y Oceanía
383,30,Colonias británicas y territorios
384,30,Caribe
385,30,Europa
386,30,Latinoamérica
387,30,Oriente Medio
388,30,Mundiales
389,30,Estampillas tropicales
390,30,Filatelia especializada
391,30,Publicaciones y suministros
392,30,Otros
393,31,Boletos para el teatro
394,31,Pases para parques temáticos y clubes
395,31,Pases de estacionamiento
396,31,Experiencias especiales
397,31,Otros
398,32,Afelpados con pelotas de semillas
399,32,Juguetes de construcción
400,32,Vehículos de presofusión y de juguete
401,32,Educativos
402,32,"Electrónicos, baterías y a cuerda"
403,32,Juguetes de comida rápida y cereales
404,32,Juegos
405,32,Canicas
406,32,Modelos de ferrocarriles y trenes
407,32,Modelos y juegos
408,32,Juguetes y estructuras para exterior
409,32,Juguetes preescolares y juegos de roles
410,32,Rompecabezas
411,32,Control por radio y mando
412,32,"Robots, monstruos y juguetes del espacio"
413,32,Automóviles con ranuras
414,32,Animales de peluche
415,32,Soldados de juguete
416,32,Juegos de cartas intercambiables
417,32,"Juguetes de personajes, TV y películas"
418,32,Juguetes antiguos
419,33,Camping y casas rodantes
420,33,Cruceros
421,33,Alojamiento
422,33,Equipaje
423,33,Accesorios para equipaje
424,33,Mapas
425,33,Ferrocarril
426,33,Accesorios de viaje
427,33,Paquetes de vacaciones
428,33,Otros
429,34,Accesorios de videojuegos
430,34,Tarjetas de juego prepagadas
431,34,Piezas y herramientas de repuesto
432,34,Guías de estrategia y trampas
433,34,Productos de videojuegos
434,34,Otros
435,35,Desarrollo profesional y educación
436,35,Ofertas especiales de eBay
437,35,Herramientas de usuario de eBay
438,35,Funeral y cementerio
439,35,Genealogía
440,35,Productos de información
441,35,Metafísica
442,35,Desarrollo personal
443,35,Seguridad personal
444,35,Productos y suministros religiosos
445,35,Programa de puntos e incentivos
446,35,Artículos extraños
